level,list_-5.0,list_-4.5,list_-4.0,list_-3.5,list_-3.0,list_-2.5,list_-2.0,list_-1.5,list_-1.0,list_-0.5,list_0.0,list_0.5,list_1.0,list_1.5,list_2.0,list_2.5,list_3.0,list_3.5,list_4.0,list_4.5,list_5.0
58,2.74,2.2,1.7,1.3,1,0.7,0.4,0.2,0.1,0,0,0,0.1,0.2,0.4,0.7,1,1.3,1.7,2.2,2.74
59,2.72,2.2,1.7,1.3,1,0.7,0.4,0.2,0.1,0,0,0,0.1,0.2,0.4,0.7,1,1.3,1.7,2.2,2.72
60,2.7,2.2,1.7,1.3,1,0.7,0.4,0.2,0.1,0,0,0,0.1,0.2,0.4,0.7,1,1.3,1.7,2.2,2.7
61,2.71,2.2,1.71,1.31,1,0.7,0.4,0.2,0.1,0,0,0,0.1,0.2,0.4,0.7,1,1.31,1.71,2.2,2.71
62,2.72,2.2,1.72,1.32,1,0.7,0.4,0.2,0.1,0,0,0,0.1,0.2,0.4,0.7,1,1.32,1.72,2.2,2.72
63,2.73,2.2,1.73,1.33,1,0.7,0.4,0.2,0.1,0,0,0,0.1,0.2,0.4,0.7,1,1.33,1.73,2.2,2.73
64,2.74,2.2,1.74,1.34,1,0.7,0.4,0.2,0.1,0,0,0,0.1,0.2,0.4,0.7,1,1.34,1.74,2.2,2.74
65,2.75,2.2,1.75,1.35,1,0.7,0.4,0.2,0.1,0,0,0,0.1,0.2,0.4,0.7,1,1.35,1.75,2.2,2.75
66,2.76,2.2,1.76,1.36,1,0.7,0.4,0.2,0.1,0,0,0,0.1,0.2,0.4,0.7,1,1.36,1.76,2.2,2.76
67,2.77,2.2,1.77,1.37,1,0.7,0.4,0.2,0.1,0,0,0,0.1,0.2,0.4,0.7,1,1.37,1.77,2.2,2.77
68,2.78,2.2,1.78,1.38,1,0.7,0.4,0.2,0.1,0,0,0,0.1,0.2,0.4,0.7,1,1.38,1.78,2.2,2.78
69,2.79,2.2,1.79,1.39,1,0.7,0.4,0.2,0.1,0,0,0,0.1,0.2,0.4,0.7,1,1.39,1.79,2.2,2.79
70,2.8,2.2,1.8,1.4,1,0.7,0.4,0.2,0.1,0,0,0,0.1,0.2,0.4,0.7,1,1.4,1.8,2.2,2.8
71,2.8,2.21,1.8,1.4,1,0.7,0.4,0.21,0.1,0,0,0,0.1,0.21,0.4,0.7,1,1.4,1.8,2.21,2.8
72,2.8,2.22,1.8,1.4,1,0.7,0.4,0.22,0.1,0,0,0,0.1,0.22,0.4,0.7,1,1.4,1.8,2.22,2.8
73,2.8,2.23,1.8,1.4,1,0.7,0.4,0.23,0.1,0,0,0,0.1,0.23,0.4,0.7,1,1.4,1.8,2.23,2.8
74,2.8,2.24,1.8,1.4,1,0.7,0.4,0.24,0.1,0,0,0,0.1,0.24,0.4,0.7,1,1.4,1.8,2.24,2.8
75,2.8,2.25,1.8,1.4,1,0.7,0.4,0.25,0.1,0,0,0,0.1,0.25,0.4,0.7,1,1.4,1.8,2.25,2.8
76,2.8,2.26,1.8,1.4,1,0.7,0.4,0.26,0.1,0,0,0,0.1,0.26,0.4,0.7,1,1.4,1.8,2.26,2.8
77,2.8,2.27,1.8,1.4,1,0.7,0.4,0.27,0.1,0,0,0,0.1,0.27,0.4,0.7,1,1.4,1.8,2.27,2.8
78,2.8,2.28,1.8,1.4,1,0.7,0.4,0.28,0.1,0,0,0,0.1,0.28,0.4,0.7,1,1.4,1.8,2.28,2.8
79,2.8,2.29,1.8,1.4,1,0.7,0.4,0.29,0.1,0,0,0,0.1,0.29,0.4,0.7,1,1.4,1.8,2.29,2.8
80,2.8,2.3,1.8,1.4,1,0.7,0.4,0.3,0.1,0,0,0,0.1,0.3,0.4,0.7,1,1.4,1.8,2.3,2.8
81,2.81,2.3,1.8,1.4,1,0.7,0.41,0.3,0.1,0,0,0,0.1,0.3,0.41,0.7,1,1.4,1.8,2.3,2.81
82,2.82,2.3,1.8,1.4,1,0.7,0.42,0.3,0.1,0,0,0,0.1,0.3,0.42,0.7,1,1.4,1.8,2.3,2.82
83,2.83,2.3,1.8,1.4,1,0.7,0.43,0.3,0.1,0,0,0,0.1,0.3,0.43,0.7,1,1.4,1.8,2.3,2.83
84,2.84,2.3,1.8,1.4,1,0.7,0.44,0.3,0.1,0,0,0,0.1,0.3,0.44,0.7,1,1.4,1.8,2.3,2.84
85,2.85,2.3,1.8,1.4,1,0.7,0.45,0.3,0.1,0,0,0,0.1,0.3,0.45,0.7,1,1.4,1.8,2.3,2.85
86,2.86,2.3,1.8,1.4,1,0.7,0.46,0.3,0.1,0,0,0,0.1,0.3,0.46,0.7,1,1.4,1.8,2.3,2.86
87,2.87,2.3,1.8,1.4,1,0.7,0.47,0.3,0.1,0,0,0,0.1,0.3,0.47,0.7,1,1.4,1.8,2.3,2.87
88,2.88,2.3,1.8,1.4,1,0.7,0.48,0.3,0.1,0,0,0,0.1,0.3,0.48,0.7,1,1.4,1.8,2.3,2.88
89,2.89,2.3,1.8,1.4,1,0.7,0.49,0.3,0.1,0,0,0,0.1,0.3,0.49,0.7,1,1.4,1.8,2.3,2.89
90,2.9,2.3,1.8,1.4,1,0.7,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.7,1,1.4,1.8,2.3,2.9
91,2.9,2.3,1.8,1.4,1,0.7,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.7,1,1.4,1.8,2.3,2.9
92,2.9,2.3,1.8,1.4,1,0.7,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.7,1,1.4,1.8,2.3,2.9
93,2.9,2.3,1.8,1.4,1,0.7,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.7,1,1.4,1.8,2.3,2.9
94,2.9,2.3,1.8,1.4,1,0.7,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.7,1,1.4,1.8,2.3,2.9
95,2.9,2.3,1.8,1.4,1,0.7,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.7,1,1.4,1.8,2.3,2.9
96,2.9,2.3,1.8,1.4,1,0.7,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.7,1,1.4,1.8,2.3,2.9
97,2.9,2.3,1.8,1.4,1,0.7,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.7,1,1.4,1.8,2.3,2.9
98,2.9,2.3,1.8,1.4,1,0.7,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.7,1,1.4,1.8,2.3,2.9
99,2.9,2.3,1.8,1.4,1,0.7,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.7,1,1.4,1.8,2.3,2.9
100,2.9,2.3,1.8,1.4,1,0.7,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.7,1,1.4,1.8,2.3,2.9
101,2.905,2.305,1.805,1.4,1.005,0.7,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.7,1.005,1.4,1.805,2.305,2.905
102,2.91,2.31,1.81,1.4,1.01,0.7,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.7,1.01,1.4,1.81,2.31,2.91
103,2.915,2.315,1.815,1.4,1.015,0.7,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.7,1.015,1.4,1.815,2.315,2.915
104,2.92,2.32,1.82,1.4,1.02,0.7,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.7,1.02,1.4,1.82,2.32,2.92
105,2.925,2.325,1.825,1.4,1.025,0.7,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.7,1.025,1.4,1.825,2.325,2.925
106,2.93,2.33,1.83,1.4,1.03,0.7,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.7,1.03,1.4,1.83,2.33,2.93
107,2.935,2.335,1.835,1.4,1.035,0.7,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.7,1.035,1.4,1.835,2.335,2.935
108,2.94,2.34,1.84,1.4,1.04,0.7,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.7,1.04,1.4,1.84,2.34,2.94
109,2.945,2.345,1.845,1.4,1.045,0.7,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.7,1.045,1.4,1.845,2.345,2.945
110,2.95,2.35,1.85,1.4,1.05,0.7,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.7,1.05,1.4,1.85,2.35,2.95
111,2.955,2.355,1.855,1.4,1.055,0.7,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.7,1.055,1.4,1.855,2.355,2.955
112,2.96,2.36,1.86,1.4,1.06,0.7,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.7,1.06,1.4,1.86,2.36,2.96
113,2.965,2.365,1.865,1.4,1.065,0.7,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.7,1.065,1.4,1.865,2.365,2.965
114,2.97,2.37,1.87,1.4,1.07,0.7,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.7,1.07,1.4,1.87,2.37,2.97
115,2.975,2.375,1.875,1.4,1.075,0.7,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.7,1.075,1.4,1.875,2.375,2.975
116,2.98,2.38,1.88,1.4,1.08,0.7,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.7,1.08,1.4,1.88,2.38,2.98
117,2.985,2.385,1.885,1.4,1.085,0.7,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.7,1.085,1.4,1.885,2.385,2.985
118,2.99,2.39,1.89,1.4,1.09,0.7,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.7,1.09,1.4,1.89,2.39,2.99
119,2.995,2.395,1.895,1.4,1.095,0.7,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.7,1.095,1.4,1.895,2.395,2.995
120,3,2.4,1.9,1.4,1.1,0.7,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.7,1.1,1.4,1.9,2.4,3
121,3,2.405,1.9,1.405,1.1,0.705,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.705,1.1,1.405,1.9,2.405,3
122,3,2.41,1.9,1.41,1.1,0.71,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.71,1.1,1.41,1.9,2.41,3
123,3,2.415,1.9,1.415,1.1,0.715,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.715,1.1,1.415,1.9,2.415,3
124,3,2.42,1.9,1.42,1.1,0.72,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.72,1.1,1.42,1.9,2.42,3
125,3,2.425,1.9,1.425,1.1,0.725,0.5,0.3,0.1,0,0,0,0.1,0.3,0.5,0.725,1.1,1.425,1.9,2.425,3
